date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-16,Elkhart,2,18039,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Floyd,9,18043,52,0,0,52,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Gibson,10,18051,29,0,0,29,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Grant,6,18053,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Greene,7,18055,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Hamilton,5,18057,34,0,0,34,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Hancock,5,18059,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Harrison,9,18061,16,0,0,16,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Hendricks,5,18063,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Henry,6,18065,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Howard,6,18067,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Huntington,3,18069,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Jackson,8,18071,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Jasper,1,18073,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Jefferson,9,18077,24,0,0,24,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Jennings,9,18079,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Johnson,5,18081,26,0,0,26,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Knox,10,18083,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Kosciusko,2,18085,8,0,0,8,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,La Porte,1,18091,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Lagrange,3,18087,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Lake,1,18089,330,0,0,330,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Lawrence,8,18093,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
