Date,County,ED Visit Count,Hospitalization Count
2020-03-25,Allen,2,2
2020-03-26,Allen,2,3
2020-03-27,Allen,4,5
2020-03-28,Allen,5,6
2020-03-29,Allen,3,2
2020-03-30,Allen,3,6
2020-03-31,Allen,2,1
2020-04-01,Allen,5,2
2020-04-02,Allen,4,3
2020-04-03,Allen,4,3
2020-04-04,Allen,6,0
2020-04-05,Allen,4,2
2020-04-06,Allen,5,3
2020-04-07,Allen,3,3
2020-04-08,Allen,5,3
2020-04-09,Allen,5,2
2020-04-10,Allen,6,2
2020-04-11,Allen,3,3
2020-04-12,Allen,4,3
2020-04-13,Allen,3,1
2020-04-14,Allen,1,1
2020-04-15,Allen,2,1
2020-04-16,Allen,6,5
2020-04-17,Allen,5,0
2020-04-18,Allen,5,3
2020-04-19,Allen,7,1
2020-04-20,Allen,6,8
2020-04-21,Allen,5,5
2020-04-22,Allen,4,2
2020-04-23,Allen,5,8
2020-04-24,Allen,9,5
2020-04-25,Allen,5,0
2020-04-26,Allen,6,5
2020-04-27,Allen,6,6
2020-04-28,Allen,11,8
2020-04-29,Allen,7,6
2020-04-30,Allen,7,5
2020-05-01,Allen,5,6
2020-05-02,Allen,9,5
2020-05-03,Allen,6,1
2020-05-04,Allen,7,3
2020-05-05,Allen,6,2
2020-05-06,Allen,9,4
2020-05-07,Allen,6,5
2020-05-08,Allen,4,7
2020-05-09,Allen,8,4
2020-05-10,Allen,9,4
2020-05-11,Allen,8,4
2020-05-12,Allen,7,3
2020-05-13,Allen,4,3
2020-05-14,Allen,18,9
2020-05-15,Allen,15,3
2020-05-16,Allen,16,10
2020-05-17,Allen,14,2
2020-05-18,Allen,12,4
2020-05-19,Allen,18,3
2020-05-20,Allen,18,10
2020-05-21,Allen,11,3
2020-05-22,Allen,12,8
2020-05-23,Allen,12,6
2020-05-24,Allen,14,5
2020-05-25,Allen,12,5
2020-05-26,Allen,17,9
2020-05-27,Allen,14,7
2020-05-28,Allen,21,5
2020-05-29,Allen,16,12
2020-05-30,Allen,19,7
2020-05-31,Allen,12,2
2020-06-01,Allen,25,12
2020-06-02,Allen,21,8
2020-06-03,Allen,14,6
2020-06-04,Allen,12,6
2020-06-05,Allen,9,7
2020-06-06,Allen,16,2
2020-06-07,Allen,13,10
2020-06-08,Allen,11,6
2020-06-09,Allen,18,6
2020-06-10,Allen,12,5
2020-06-11,Allen,19,9
2020-06-12,Allen,10,2
2020-06-13,Allen,11,6
2020-06-14,Allen,4,4
2020-06-15,Allen,18,9
2020-06-16,Allen,9,4
2020-06-17,Allen,13,5
2020-06-18,Allen,10,10
2020-06-19,Allen,11,4
2020-06-20,Allen,13,3
2020-06-21,Allen,8,1
2020-06-22,Allen,10,5
2020-06-23,Allen,12,7
2020-06-24,Allen,5,3
2020-06-25,Allen,14,5
2020-06-26,Allen,17,6
2020-06-27,Allen,9,4
2020-06-28,Allen,6,2
2020-06-29,Allen,6,5
2020-06-30,Allen,6,1
2020-07-01,Allen,8,3
2020-07-02,Allen,9,5
2020-07-03,Allen,6,2
2020-07-04,Allen,4,3
2020-07-05,Allen,6,3
2020-07-06,Allen,10,6
2020-07-07,Allen,8,5
2020-07-08,Allen,6,1
2020-07-09,Allen,6,3
2020-07-10,Allen,7,1
2020-07-11,Allen,7,0
2020-07-12,Allen,7,2
2020-07-13,Allen,8,4
2020-07-14,Allen,12,7
2020-07-15,Allen,7,4
2020-07-16,Allen,14,6
2020-07-17,Allen,9,5
2020-07-18,Allen,9,1
2020-07-19,Allen,9,3
2020-07-20,Allen,8,3
2020-07-21,Allen,8,3
2020-07-22,Allen,7,2
2020-07-23,Allen,8,4
2020-07-24,Allen,10,4
2020-07-25,Allen,8,2
2020-07-26,Allen,10,0
2020-07-27,Allen,10,4
2020-07-28,Allen,13,4
2020-07-29,Allen,20,5
2020-07-30,Allen,12,5
2020-07-31,Allen,12,6
2020-08-01,Allen,8,5
2020-08-02,Allen,10,5
2020-08-03,Allen,5,3
2020-08-04,Allen,11,6
2020-08-05,Allen,9,1
2020-08-06,Allen,12,2
2020-08-07,Allen,11,4
2020-08-08,Allen,5,5
2020-08-09,Allen,10,3
2020-08-10,Allen,10,3
2020-08-11,Allen,8,3
2020-08-12,Allen,17,6
2020-08-13,Allen,9,3
2020-08-14,Allen,11,5
2020-08-15,Allen,8,3
2020-08-16,Allen,5,3
2020-08-17,Allen,9,2
2020-08-18,Allen,9,3
2020-08-19,Allen,7,3
2020-08-20,Allen,15,2
2020-08-21,Allen,6,2
2020-08-22,Allen,5,4
2020-08-23,Allen,5,4
2020-08-24,Allen,8,3
2020-08-25,Allen,6,3
2020-08-26,Allen,8,2
2020-08-27,Allen,13,5
2020-08-28,Allen,5,4
2020-08-29,Allen,6,2
2020-08-30,Allen,10,2
2020-08-31,Allen,9,1
2020-09-01,Allen,9,2
2020-09-02,Allen,7,5
2020-09-03,Allen,8,3
2020-09-04,Allen,5,4
2020-09-05,Allen,7,3
2020-09-06,Allen,13,6
2020-09-07,Allen,15,2
2020-09-08,Allen,10,5
2020-09-09,Allen,11,2
2020-09-10,Allen,10,4
2020-09-11,Allen,10,3
2020-09-12,Allen,7,0
2020-09-13,Allen,8,6
2020-09-14,Allen,12,3
2020-09-15,Allen,8,5
2020-09-16,Allen,7,1
2020-09-17,Allen,15,3
2020-09-18,Allen,5,2
2020-09-19,Allen,11,4
2020-09-20,Allen,7,6
2020-09-21,Allen,11,3
2020-09-22,Allen,9,4
2020-09-23,Allen,8,6
2020-09-24,Allen,10,5
2020-09-25,Allen,8,5
2020-09-26,Allen,6,4
2020-09-27,Allen,7,2
2020-09-28,Allen,9,5
2020-09-29,Allen,10,3
2020-09-30,Allen,6,3
2020-10-01,Allen,7,2
2020-10-02,Allen,5,4
2020-10-03,Allen,13,6
2020-10-04,Allen,11,4
2020-10-05,Allen,8,6
2020-10-06,Allen,20,9
2020-10-07,Allen,8,4
2020-10-08,Allen,7,1
2020-10-09,Allen,9,7
2020-10-10,Allen,9,1
2020-10-11,Allen,11,5
2020-10-12,Allen,13,5
2020-10-13,Allen,10,7
2020-10-14,Allen,8,8
2020-10-15,Allen,10,6
2020-10-16,Allen,10,14
2020-10-17,Allen,16,9
2020-10-18,Allen,14,4
2020-10-19,Allen,10,7
2020-10-20,Allen,28,12
2020-10-21,Allen,17,11
2020-10-22,Allen,12,10
2020-10-23,Allen,15,9
2020-10-24,Allen,19,9
2020-10-25,Allen,12,2
2020-10-26,Allen,24,7
2020-10-27,Allen,20,6
2020-10-28,Allen,26,7
2020-10-29,Allen,21,5
2020-10-30,Allen,18,4
2020-10-31,Allen,24,10
2020-11-01,Allen,13,8
2020-11-02,Allen,26,15
2020-11-03,Allen,25,13
2020-11-04,Allen,38,7
2020-11-05,Allen,33,13
2020-11-06,Allen,27,9
2020-11-07,Allen,39,12
2020-11-08,Allen,22,7
2020-11-09,Allen,40,15
2020-11-10,Allen,44,25
2020-11-11,Allen,54,10
2020-11-12,Allen,44,16
2020-11-13,Allen,48,16
2020-11-14,Allen,49,11
2020-11-15,Allen,28,4
2020-03-01,Bartholomew,0,0
2020-03-02,Bartholomew,1,0
2020-03-03,Bartholomew,0,0
2020-03-04,Bartholomew,0,0
2020-03-05,Bartholomew,1,0
2020-03-06,Bartholomew,1,1
2020-03-07,Bartholomew,0,0
2020-03-08,Bartholomew,0,0
2020-03-09,Bartholomew,0,0
2020-03-10,Bartholomew,0,0
2020-03-11,Bartholomew,1,1
2020-03-12,Bartholomew,1,0
2020-03-13,Bartholomew,0,0
2020-03-14,Bartholomew,0,0
2020-03-15,Bartholomew,0,0
2020-03-16,Bartholomew,0,0
2020-03-17,Bartholomew,0,0
2020-03-18,Bartholomew,1,0
2020-03-19,Bartholomew,0,0
2020-03-20,Bartholomew,0,0
2020-03-21,Bartholomew,1,0
2020-03-22,Bartholomew,0,0
2020-03-23,Bartholomew,1,0
2020-03-24,Bartholomew,0,0
2020-03-25,Bartholomew,0,0
2020-03-26,Bartholomew,4,3
2020-03-27,Bartholomew,1,0
2020-03-28,Bartholomew,5,3
